p cnf 3000 7500
184 -1414 -2588 0
-2778 2216 20 0
-2649 175 851 0
135 250 352 0
-1882 -2158 2586 0
2785 1327 1720 0
2420 -535 134 0
-1847 -1140 142 0
36 -2325 2112 0
776 1585 -2097 0
1561 2328 920 0
2585 -764 -350 0
2223 -1810 -703 0
-626 1862 -2313 0
-2696 -2371 1162 0
-2013 2045 2205 0
412 2459 1603 0
394 1123 1713 0
2555 1298 1925 0
-2130 916 -2566 0
-2610 135 2708 0
-2571 -2784 1631 0
1434 -2049 -1558 0
-1327 -2069 1553 0
2026 -2508 -2047 0
1966 124 285 0
2631 -612 -2652 0
915 570 -1559 0
1792 1326 749 0
2641 2448 2902 0
2799 954 170 0
153 1130 2357 0
-478 -1990 2483 0
-1712 1211 -1715 0
1069 -2349 1234 0
-2282 -528 2497 0
2322 729 -1227 0
348 1129 -2133 0
33 -384 -2137 0
525 1745 2186 0
146 1724 1761 0
2928 2117 2034 0
918 2040 1336 0
792 -560 -1368 0
1823 1847 2339 0
869 409 1724 0
967 465 2446 0
-2266 -305 856 0
2321 -1190 458 0
1228 611 265 0
2524 2702 -2279 0
1904 -1130 -1068 0
2859 2528 2435 0
515 39 -782 0
2555 430 -1486 0
-2938 1525 -1619 0
-2179 -2756 938 0
780 2823 1529 0
-881 2724 2029 0
55 2986 2001 0
2635 -23 747 0
2358 -143 -2808 0
323 803 1772 0
-2 1256 1081 0
2653 1919 2338 0
952 2251 2932 0
-1545 -1285 499 0
-2321 43 -1448 0
1891 -1001 2251 0
2222 -1684 2675 0
915 -115 1646 0
1018 1194 1390 0
-2921 -460 1880 0
1794 1351 1135 0
53 786 -758 0
-2118 1669 -1613 0
-752 539 1211 0
-1469 -14 2722 0
2063 761 -30 0
-2841 -2536 1247 0
1112 164 74 0
594 -663 2603 0
1784 715 1484 0
2335 -2783 -1314 0
1893 687 -529 0
2548 1270 -2065 0
762 -872 -406 0
1911 1043 2570 0
1225 1920 20 0
-2465 1136 2268 0
-2556 -1175 1823 0
63 2245 -884 0
2140 2584 1387 0
492 -1329 -2 0
1526 2240 -433 0
40 684 2377 0
-1322 1064 2153 0
-2960 -2046 1901 0
113 975 1726 0
1009 -590 341 0
-371 1330 -1440 0
2081 1368 1794 0
1377 -1539 2911 0
860 1163 44 0
211 728 2702 0
2039 1819 1840 0
470 1539 -2562 0
102 218 1281 0
1084 1895 2892 0
221 830 2974 0
-2953 -2735 1095 0
506 -768 -2761 0
1220 2909 2483 0
-2210 600 574 0
-2264 2516 104 0
913 -2889 -2031 0
2691 2185 661 0
2160 1512 1016 0
623 415 869 0
2226 2146 -854 0
19 -369 947 0
81 1253 -515 0
444 -2149 1086 0
269 751 2669 0
2287 -490 2525 0
-2895 2164 2446 0
1224 1322 -27 0
2547 -2511 2673 0
-713 -2055 2104 0
-2289 74 -767 0
-2 2514 1982 0
2301 2963 1325 0
-383 2621 -1359 0
22 1107 -177 0
2028 2472 2557 0
4 -2165 -2360 0
-1102 -213 2908 0
-2915 1951 1323 0
-2188 699 -508 0
-2251 2046 -331 0
-2402 2830 2250 0
-2580 882 -2263 0
-33 1243 -2273 0
1568 283 -2722 0
57 2880 -737 0
2198 2541 825 0
-2273 1019 -2522 0
2911 -2793 -817 0
2518 -746 2795 0
-2928 1088 1623 0
137 1635 588 0
-2482 249 -1575 0
1790 1422 -278 0
440 -23 -799 0
1769 1167 1434 0
2285 91 2136 0
2641 588 2168 0
-875 -544 1026 0
516 415 1922 0
118 2953 169 0
398 1886 -1643 0
-1663 -2793 2094 0
-2713 -1905 1272 0
2869 -1970 2280 0
1284 -786 2257 0
1156 -2427 -2189 0
2293 69 2904 0
1320 -1921 439 0
714 -1316 971 0
2388 -752 -2489 0
1397 -2127 187 0
2553 -2848 1294 0
150 717 2940 0
520 840 1854 0
-2841 2447 295 0
-2437 2181 571 0
-2310 287 -1714 0
-98 -286 2894 0
1389 691 -1749 0
2344 426 2581 0
-1754 2906 -1423 0
-2038 1832 -41 0
2883 1677 318 0
-746 -2567 1172 0
-747 102 -2600 0
1173 1743 -264 0
898 2463 -2289 0
1791 -1635 -670 0
913 1003 1381 0
135 333 -2607 0
2191 39 2325 0
2334 1689 1435 0
-2221 -2796 14 0
1178 2558 2393 0
815 1719 -278 0
1889 499 -884 0
1086 2362 457 0
1929 235 -284 0
2733 -2903 -2018 0
1462 128 63 0
689 1841 2463 0
-1869 -2222 2202 0
-1070 -2724 1765 0
-523 1095 36 0
-739 2723 -2789 0
1843 2660 -2274 0
1949 530 -1375 0
2473 2183 -1413 0
-1847 418 314 0
333 -1889 2208 0
1259 -1237 -1341 0
1141 711 -2742 0
-2262 259 -241 0
-1607 1106 -1321 0
1120 2702 1933 0
-2388 -1471 1587 0
2517 478 -2494 0
1488 -240 1628 0
2717 -121 -2368 0
-516 2261 -1352 0
2554 -850 -2552 0
2040 -718 1267 0
2801 2019 -2326 0
2108 2636 2368 0
467 -514 -866 0
175 -1176 2949 0
-2125 1554 2016 0
1649 2994 -2305 0
416 931 2475 0
968 2926 1879 0
1175 -18 -1795 0
2516 770 665 0
2837 2186 1362 0
415 638 1474 0
68 2057 2571 0
-584 -1715 2682 0
1605 -875 1634 0
1460 -2077 256 0
589 -49 341 0
-1213 -1899 764 0
445 2282 865 0
-1828 1996 1933 0
1110 -721 35 0
918 379 1901 0
1462 1867 1107 0
-908 -25 814 0
784 2740 1774 0
-2562 1066 -482 0
2238 2749 1508 0
1752 93 521 0
2669 -1571 2487 0
1902 -1978 503 0
-902 642 2121 0
-2520 1365 -2119 0
-2248 20 805 0
996 -543 2933 0
-1322 -2051 1686 0
-2871 -389 1500 0
573 1833 -2670 0
-2953 1357 -2942 0
-2705 2588 -1735 0
1446 1783 1360 0
243 16 2280 0
2138 -2419 1835 0
1242 2191 1917 0
1429 103 2735 0
-1102 1557 868 0
2648 -1462 1325 0
1172 842 703 0
-1149 2786 1946 0
921 -2817 -658 0
-303 1781 313 0
-1451 -2790 1152 0
-2745 2599 2587 0
2089 -505 2101 0
354 2992 989 0
178 2243 770 0
1751 1158 188 0
2912 2548 35 0
-1090 2247 -568 0
-1588 -1098 1521 0
2986 -1868 261 0
-1220 -88 260 0
-1381 1016 -235 0
-366 2740 -284 0
-716 5 -1936 0
1777 1794 2179 0
-1017 -2575 1789 0
953 -1026 -1647 0
1901 -2385 -1634 0
1773 -1966 -875 0
2283 -2970 1820 0
-2501 76 -141 0
2322 -24 1446 0
2352 -687 2483 0
1391 -1347 -125 0
2616 1867 657 0
797 388 2497 0
2712 851 1639 0
1788 -2350 -1402 0
-1563 -963 979 0
-2189 1456 -2142 0
832 2088 828 0
1071 2539 -2519 0
2097 2755 870 0
1269 1202 1643 0
1050 1776 -2777 0
-1043 380 -937 0
2284 -54 -951 0
2244 -2390 277 0
2014 -1131 -2186 0
2571 2783 758 0
-655 540 -1385 0
2337 -1693 -1508 0
143 175 1524 0
2816 427 2348 0
123 2945 114 0
114 1248 1412 0
2717 2902 2329 0
960 593 456 0
101 2206 521 0
1452 1819 2119 0
2518 -2706 2029 0
-1617 471 94 0
2444 -515 -2724 0
2514 -394 -414 0
527 1939 2712 0
2039 -1616 1890 0
572 -1270 -1823 0
350 975 1401 0
2273 2366 2970 0
588 -1674 -331 0
1144 -1586 -2851 0
-1533 -2771 1518 0
2481 2836 1870 0
1797 362 2024 0
2452 2360 -401 0
-354 396 -2074 0
2622 533 1226 0
2024 1937 806 0
2923 -1842 2604 0
-1068 -1052 1699 0
-1542 2355 -722 0
402 -1121 1960 0
-316 2147 -1723 0
-2214 1180 1312 0
303 2025 2949 0
590 491 265 0
-1116 110 -1499 0
1833 2385 -846 0
2392 912 1671 0
3000 2345 256 0
2118 1047 -42 0
1197 2279 -627 0
1124 122 78 0
786 1127 -569 0
277 2592 254 0
1441 283 438 0
185 -1931 157 0
590 2602 1450 0
-2158 -1396 416 0
409 2615 -2870 0
-708 2203 1423 0
2851 2275 1242 0
197 782 1048 0
2879 1416 -549 0
2669 -291 538 0
417 -2252 1221 0
214 1858 -101 0
-345 2716 2706 0
1108 2743 143 0
1928 340 -967 0
961 -849 -1410 0
2600 1233 604 0
1428 -1099 -367 0
839 1973 -2971 0
1697 705 -2693 0
285 1095 67 0
2142 -432 1174 0
-699 -1558 2642 0
-1061 -1615 4 0
-405 -1377 1582 0
1725 732 -1728 0
-248 1078 1354 0
989 2493 -2853 0
-2365 58 1554 0
371 -750 -436 0
869 376 -877 0
-2936 1574 2435 0
-743 34 -978 0
1985 1946 -965 0
1405 861 598 0
1403 1911 2886 0
717 -1039 -270 0
-839 241 2046 0
-541 130 2311 0
268 2651 1263 0
-2023 684 2028 0
421 246 1033 0
-2155 -2656 1478 0
1137 150 2555 0
1974 -280 -2815 0
891 1238 1473 0
-1662 2112 2404 0
2841 -860 2017 0
886 -2727 2949 0
-2003 -2599 1794 0
-1545 137 1439 0
303 -2155 -68 0
-747 198 134 0
2159 42 1970 0
-1561 1678 -2713 0
347 -339 14 0
2465 -758 -2595 0
-359 -2849 669 0
74 -2088 257 0
337 -730 -983 0
2874 -868 1814 0
1727 2028 386 0
-1307 2227 -1360 0
2467 -2582 712 0
2468 2538 1330 0
820 151 -171 0
-40 -1263 1722 0
2735 -2095 -2840 0
1528 2571 338 0
-631 -1102 2354 0
1026 1209 469 0
-2137 1622 -2993 0
1882 -368 -2255 0
-1178 -1142 2675 0
1785 2060 -845 0
49 736 -1009 0
1652 1475 1359 0
-2170 734 -2694 0
2552 -1477 -2683 0
-297 535 2741 0
2358 -817 -2114 0
-89 489 -2093 0
-2138 294 -2983 0
2264 -2449 973 0
-2372 -1811 2928 0
2814 1648 784 0
1266 -796 -732 0
-610 -1007 439 0
2847 2406 152 0
2575 2089 1193 0
2526 2268 -2703 0
223 1459 2413 0
357 2495 1806 0
1326 -922 -1562 0
317 1752 1465 0
2002 2342 331 0
-2544 1729 -345 0
1433 2054 994 0
-228 -1238 1996 0
2268 1689 -2264 0
1808 -1434 444 0
-547 -2058 2008 0
2332 1359 1412 0
2084 2162 1940 0
644 1635 -2543 0
-2969 508 1094 0
1427 48 -1534 0
1816 -897 -271 0
2883 2736 2041 0
710 1898 285 0
-702 -1875 1297 0
362 -2052 -746 0
-2941 2623 115 0
-1933 43 -475 0
-2882 1346 -2400 0
1573 -2553 -679 0
-2230 1336 -1817 0
103 1652 1052 0
-817 2771 818 0
1953 2393 1689 0
-2963 -2478 849 0
2284 1952 2804 0
2788 -1475 -2447 0
2233 1311 2671 0
2167 1458 -960 0
-2814 1354 -2654 0
417 235 46 0
-1548 2958 -2390 0
1163 -2424 -1557 0
-522 -1407 381 0
-2503 790 -2005 0
1336 -1215 -736 0
-1700 -1891 1349 0
276 1843 2577 0
1858 2997 898 0
1735 2433 -1388 0
418 918 1861 0
-1289 2520 1199 0
615 -2049 940 0
-1512 827 -474 0
2887 -1162 -628 0
-2343 899 881 0
-1624 1386 2227 0
2212 2513 2327 0
911 -2776 -2967 0
881 2580 2443 0
277 133 8 0
1739 142 1099 0
1901 1012 1619 0
481 -1379 -914 0
-1807 2853 1775 0
1181 1262 1412 0
-4 1118 1035 0
1357 -401 -183 0
2834 865 1113 0
1881 2595 2617 0
-1521 670 -368 0
1745 2599 2176 0
-1611 2629 -1194 0
1896 1514 2997 0
2945 1890 -1856 0
88 -2067 -1081 0
1387 -373 -679 0
1688 2882 -1715 0
787 -1305 2011 0
1833 1470 2965 0
158 -1379 924 0
509 2955 -783 0
1860 2181 278 0
1683 708 1258 0
-320 77 -246 0
-197 -2574 2522 0
1419 1976 2833 0
692 -1808 -2536 0
963 1832 1656 0
-118 551 604 0
1466 564 2563 0
1026 -1714 -2907 0
-87 1461 -882 0
1436 -16 2503 0
213 1959 2759 0
1356 -41 -1053 0
-2991 316 -2993 0
1762 879 1324 0
2040 2908 1886 0
1817 861 -2317 0
133 189 -1846 0
1118 176 163 0
-2213 -928 334 0
2237 -1125 -533 0
337 -2966 -124 0
704 2579 -1015 0
1362 331 -1141 0
1969 591 -703 0
2475 2568 904 0
-2275 366 -734 0
-1108 -1126 2983 0
-2013 1840 -126 0
-2265 -2045 1930 0
2077 375 1890 0
331 1170 270 0
-1142 301 -1714 0
2615 -119 71 0
1990 1977 2393 0
804 1522 1640 0
585 2985 2747 0
-491 -1431 1077 0
2255 692 1865 0
245 -2401 1256 0
-1507 997 649 0
-1637 1434 -2827 0
1305 287 1815 0
-888 640 737 0
881 1620 1102 0
2862 -559 -96 0
2234 2951 -2740 0
2530 -1462 1522 0
1168 1974 1604 0
-1106 696 -2482 0
-1900 2547 -2035 0
365 -1958 352 0
2215 1359 1782 0
1070 2949 37 0
159 -2351 1636 0
2269 1151 2365 0
-892 278 2617 0
406 1461 807 0
408 1013 430 0
-985 2312 -1614 0
-1385 -2474 533 0
-2258 1909 -2431 0
68 1856 1897 0
-783 -1921 2614 0
674 1018 2950 0
1878 727 1727 0
-2984 -1728 2682 0
227 2398 -2466 0
-798 2832 -192 0
1455 -1995 2131 0
-161 464 719 0
-2011 -1674 368 0
-1446 1226 2593 0
-189 1423 -768 0
-1366 -307 1869 0
-660 1961 2910 0
-1599 -2743 1365 0
79 4 -1578 0
1404 -1378 781 0
2491 1020 1875 0
2404 721 2080 0
917 1365 2065 0
-1329 620 -2039 0
331 2700 272 0
1409 -2543 -2046 0
332 -196 2323 0
2662 1799 1387 0
